"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Scenario: Directory has 'notes.txt'.
        Expectation: Row written: ['notes.txt', '', '']
        ","0","Include non-MP3 files with empty metadata","tests","Mon Dec 08 20:27:38 UTC 2025","broken","Mon Dec 08 20:27:38 UTC 2025","TestDirectoryScanning","File System","",""
"
        Scenario: yt-dlp saves 'Song.mp3', but sanitization expects 'Song Name.mp3'.
        Expectation: Script iterates listdir to find 'Song.mp3' via partial match.
        ","0","Find partial match if exact filename missing","tests","Mon Dec 08 20:27:38 UTC 2025","broken","Mon Dec 08 20:27:38 UTC 2025","TestDownloadWorkflow","Workflow","",""
"Verify various delimiters are normalized to semicolons.","0","Split on commas, pipes, slashes, and 'and'","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestCleanGenre","Data Cleaning","",""
"
        Scenario: Directory contains .txt and .jpg files.
        Expectation: Result list should be empty.
        ","0","Ignore non-MP3 files","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestGetMp3Files","File System Scanning","",""
"","0","Fallback to 'Wedding' on failure","tests","Mon Dec 08 20:27:38 UTC 2025","broken","Mon Dec 08 20:27:38 UTC 2025","TestMusicBrainz","Metadata","",""
"","0","Remove feats, parens, and accents","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestNormalization","Data Cleaning","",""
"
        Scenario: mutagen raises an exception (e.g., corrupt header).
        Expectation: Fallback to filename as title, 'Unknown Artist', 'unknown genre'.
        ","0","Graceful fallback on corrupt metadata","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestGetMp3Files","File System Scanning","",""
"","0","Verify JSON files were written","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestScriptWorkflow","Integration","",""
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"","0","High score for identical pairs","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestScoring","Matching Logic","",""
"","0","Remove video suffixes (Official Video, etc)","tests","Mon Dec 08 20:27:38 UTC 2025","passed","Mon Dec 08 20:27:38 UTC 2025","TestSanitization","String Processing","",""
"","0","Remove video suffixes (Official Video, etc)","tests","Mon Dec 08 20:27:38 UTC 2025","passed","Mon Dec 08 20:27:38 UTC 2025","TestSanitization","String Processing","",""
"","0","Return None on empty results or error","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestItunesProvider","Artwork Providers","",""
"
        Scenario: First item is not from user.
        Expectation: Returns 0 (insert at start).
        ","0","Return 0 when no user picks exist","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestPlaylistIndexing","Playlist Logic","",""
"","0","Remove video suffixes (Official Video, etc)","tests","Mon Dec 08 20:27:38 UTC 2025","passed","Mon Dec 08 20:27:38 UTC 2025","TestSanitization","String Processing","",""
"","1","Format seconds to MM:SS","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestFormatters","Utilities","",""
