Filename,Title,Artist,Genre
24K Magic (Power Workout Mix).mp3,24K Magic (Power Workout Mix),Release,pop
Against All Odds (Together at Home Mix).mp3,Against All Odds (Together At Home Mix),AKHENATON,hip-hop
All About That Bass (Radio Dance Remix 2015).mp3,All About That Bass (Radio Dance Remix 2015),Lingyi,dance
APT..mp3,Apt.,ROSÉ,pop
Baby Got Back.mp3,Baby Got Back,Sir Mix A lot,hip-hop
Bad Dreams.mp3,Bad Dreams,Teddy Swims,pop
Banana Pancakes.mp3,Banana Pancakes,jack johnson,indie
Beautiful Things.mp3,Beautiful Things,Benson Boone,pop
Better Together.mp3,Better Together,jack johnson,indie
Butterfly.mp3,Butterfly,Crazy Town,rock
By the Way.mp3,By The Way,Red Hot Chili Peppers,rock
Can't Stop.mp3,Can'T Stop,Red Hot Chili Peppers,rock
Come Together.mp3,Come Together,gary clark jr,rock
Do Ya Wanna Taste It.mp3,Do Ya Wanna Taste It,WIG WAM official,rock
Down Under (feat. Colin Hay).mp3,Down Under,Luude,edm
Easy Lover.mp3,Easy Lover,Miley Cyrus,pop
Enter Sandman.mp3,Enter Sandman,Metallica,rock
Eurythmics - Sweet Dreams (Holderz 2016 Remix).mp3,Sweet Dreams (Holderz 2016 Remix),Eurythmics,pop
Fireball.mp3,Fireball,Twisted Game Songs,special
Gold (2003 Remaster).mp3,Gold (2003 Remaster),Spandau Ballet,pop
Golden.mp3,Golden,HUNTR/X,pop
Good People.mp3,Good People,jackjohnsonmusic,indie
GOSSIP.mp3,Gossip,Måneskin Official,rock
Groove Is in the Heart.mp3,Groove Is In The Heart,Deee-Lite,dance
HandClap.mp3,Handclap,Fitz and the Tantrums,indie
Here Comes the Hotstepper (Heartical Mix).mp3,Here Comes The Hotstepper (Heartical Mix),Ini Kamoze,reggae
Hold Me Now.mp3,Hold Me Now,Thompson Twins,pop
How Bizarre.mp3,How Bizarre,OMC,pop
Hungry Like the Wolf.mp3,Hungry Like The Wolf,Duran Duran,pop
Hymn for the Weekend (Power Workout Mix).mp3,Hymn For The Weekend (Power Workout Mix),Release,pop
I Can't Dance (2007 Remaster).mp3,I Can'T Dance ,Genesis,rock
I WANNA BE YOUR SLAVE.mp3,I Wanna Be Your Slave,Måneskin Official,rock
I'm So Excited.mp3,I'M So Excited,The Pointer Sisters,pop
Informer.mp3,Informer,SnowDKO,reggae
Into The Groove (You Can Dance Remix Edit) (2022 Remaster).mp3,Into The Groove,Madonna,pop
Island In The Sun.mp3,Island In The Sun,weezer,rock
Istanbul (Not Constantinople).mp3,Istanbul (Not Constantinople),ParticleMen,indie
James Bond Theme (Moby's Re-Version) (2006 Remaster).mp3,Version) (2006 Remaster),Moby,edm
Kryptonite.mp3,Kryptonite,3doorsdown,rock
Le Freak.mp3,Le Freak,Nile Rodgers & CHIC,disco
Lil Boo Thang.mp3,Lil Boo Thang,Paul Russell,pop
Lose Control.mp3,Lose Control,Teddy Swims,pop
Love You Still (abcdefu romantic Version).mp3,Love You Still (Abcdefu Romantic Version),Tyler Shaw,pop
Made You Look (Joel Corry Remix).mp3,Made You Look (Joel Corry Remix),Meghan Trainor,pop
Madonna - Vogue (DJ John Byrne Remix).mp3,Vogue (Dj John Byrne Remix),Madonna,pop
Mr. Vain.mp3,Mr. Vain,Culture Beat,dance
My Sweet Lord (2014 Remaster).mp3,My Sweet Lord (2014 Remaster),George Harrison,rock
Natural Blues.mp3,Natural Blues,Moby,edm
Nice To Meet You.mp3,Nice To Meet You,Myles Smith,pop
Ordinary.mp3,Ordinary,Alex Warren,pop
OutKast - Hey Ya! (Clean - Lyrics).mp3,Hey Ya! (Clean - Lyrics),Outkast,hip-hop
Party In The U.S.A..mp3,Party In The U.S.A.,Miley Cyrus,pop
Push It! (Remix).mp3,Push It! (Remix),SPYZR,dance
Puttin' On the Ritz (Electro Swing Mix).mp3,Puttin' On The Ritz (Electro Swing Mix),Betty Booom,dance
Radioactive (Power Workout Mix).mp3,Radioactive (Power Workout Mix),Release,pop
Rio (2009 Remaster).mp3,Rio (2009 Remaster),Duran Duran,pop
Riptide.mp3,Riptide,Vance Joy,indie
Sapphire.mp3,Sapphire,Ed Sheeran,pop
Scotty Doesn't Know.mp3,Scotty Doesn'T Know,Lustra,rock
Seven Nation Army (The Glitch Mob Remix).mp3,Seven Nation Army (The Glitch Mob Remix),The White Stripes,rock
Sharks.mp3,Sharks,ImagineDragons,rock
Stargazing.mp3,Stargazing,Myles Smith,pop
Steal My Sunshine.mp3,Steal My Sunshine,LEN TV,pop
Stick Season.mp3,Stick Season,Noah Kahan,indie
Supermassive Black Hole.mp3,Supermassive Black Hole,Muse,rock
Swing Rave.mp3,Swing Rave,Farbwende,dance
Tangled Up (Lokee Remix).mp3,Tangled Up (Lokee Remix),caro emerald,pop
The Time Warp.mp3,The Time Warp,Richard O'Brien,special
Thunderstruck.mp3,Thunderstruck,AC/DC,rock
Too Sweet.mp3,Too Sweet,Hozier,indie
Town Called Malice.mp3,Town Called Malice,The Jam,rock
U Can't Touch This.mp3,U Can'T Touch This,MC HAMMER,hip-hop
Undress Rehearsal.mp3,Undress Rehearsal,TImeflies4850,pop
Uprising.mp3,Uprising,Muse,rock
Virtual Insanity (Remastered 2013).mp3,Virtual Insanity (Remastered 2013),Jamiroquai,disco
We Don't Talk About Bruno.mp3,We Don'T Talk About Bruno,Carolina Gaitán - La Gaita,pop
Wrecking Ball.mp3,Wrecking Ball,Miley Cyrus,pop
You Can Call Me Al.mp3,You Can Call Me Al,Paul Simon,rock
