Filename,Title,Artist,Search_Query,Genre
... Baby One More Time.mp3,... Baby One More Time,Britney Spears,Britney Spears ... Baby One More Time song genre,Pop
911 - Bodyshaking.mp3,Bodyshaking,911,911 Bodyshaking song genre,Pop
911 - Love Sensation.mp3,Love Sensation,911,911 Love Sensation song genre,Pop
A Bar Song (Tipsy).mp3,A Bar Song (Tipsy),Shaboozey,Shaboozey A Bar Song (Tipsy) song genre,Country; Folk
A Kind Of Magic.mp3,A Kind Of Magic,Queen,Queen A Kind Of Magic song genre,Rock
A Sky Full of Stars.mp3,A Sky Full Of Stars,Coldplay,Coldplay A Sky Full Of Stars song genre,Alternative rock; EDM
About Damn Time.mp3,About Damn Time,Lizzo,Lizzo About Damn Time song genre,Pop; Disco
Ace of Base - All That She Wants.mp3,All That She Wants,Ace Of Base,Ace Of Base All That She Wants song genre,Reggae; Pop
Addicted To Love.mp3,Addicted To Love,Robert Palmer,Robert Palmer Addicted To Love song genre,Rock
Adore You.mp3,Adore You,Harry Styles,Harry Styles Adore You song genre,Pop
Africa.mp3,Africa,TOTO,TOTO Africa song genre,Rock
Afroman - Because I Got High.mp3,Because I Got High,Afroman,Afroman Because I Got High song genre,Hip-Hop
Against All Odds (Together at Home Mix).mp3,Against All Odds (Together At Home Mix),Phil Collins,Phil Collins Against All Odds (Together At Home Mix) song genre,Rock
Airplanes.mp3,Airplanes,B.o.B/Hayley Williams,B.o.B/Hayley Williams Airplanes song genre,Hip-Hop
Alex Warren - Ordinary.mp3,Ordinary,Alex Warren,Alex Warren Ordinary song genre,Pop
All About You.mp3,All About You,McFly,McFly All About You song genre,"Pop, Indie"
All Around The World (La La La).mp3,All Around The World (La La La),R3HAB,R3HAB All Around The World (La La La) song genre,Dance; EDM
All The Things She Said.mp3,All The Things She Said,Tatu,Tatu All The Things She Said song genre,Alternative Rock
All You Need Is Love.mp3,All You Need Is Love,The Beatles,The Beatles All You Need Is Love song genre,Pop
All-4-One - I Swear.mp3,I Swear,All-4-One,All-4-One I Swear song genre,R&B; Pop
Always.mp3,Always,Bon Jovi,Bon Jovi Always song genre,Rock
America.mp3,America,Razorlight,Razorlight America song genre,Rock
American Idiot.mp3,American Idiot,Green Day,Green Day American Idiot song genre,Punk; Alternative Rock
Anxiety.mp3,Anxiety,Doechii,Doechii Anxiety song genre,Hip-hop; Rap
